api,indicator,cn_name,param_format,param_note,return_cols,status,sample,note
THS_BasicData,ths_capex,资本性支出,"YYYYMMDD,100,OC",market=通用; unit=元,元,○,—,— [来源:DCF建模目录 category=financial verified=2026-05-08]
THS_BasicData,ths_gross_profit_ttm,毛利TTM,空,market=通用; unit=元,元,○,—,— [来源:DCF建模目录 category=profitability verified=2026-05-08]
THS_BasicData,ths_dividend_yield,股息率,YYYY-MM-DD,market=通用; unit=percent,percent,○,—,— [来源:DCF建模目录 category=valuation verified=2026-05-08]
THS_BasicData,ths_pe_ttm,市盈率TTM(_ths_前缀版),YYYY-MM-DD,market=通用; unit=ratio,ratio,○,—,与 pe_ttm 等价 fallback [来源:DCF建模目录 category=valuation verified=2026-05-08]
THS_BasicData,ths_pb_lf,市净率LF,YYYY-MM-DD,market=通用; unit=ratio,ratio,○,—,与 pb_latest 等价 fallback [来源:DCF建模目录 category=valuation verified=2026-05-08]
THS_BasicData,ths_ps_ttm,市销率TTM,YYYY-MM-DD,market=通用; unit=ratio,ratio,○,—,与 ps_ttm 等价 fallback [来源:DCF建模目录 category=valuation verified=2026-05-08]
THS_BasicData,ths_ev_ebitda,EV/EBITDA,YYYY-MM-DD,market=通用; unit=ratio,ratio,○,—,与 ev1_to_ebitda 等价 fallback [来源:DCF建模目录 category=valuation verified=2026-05-08]
THS_BasicData,ths_ipo_date_stock,上市日期,空,market=通用; unit=日期,日期,○,—,— [来源:DCF建模目录 category=meta verified=2026-05-08]
THS_BasicData,ths_ipo_price_hks,港股发行价,空,market=港股; unit=HKD,HKD,○,—,— [来源:DCF建模目录 category=ipo verified=2026-05-08]
THS_BasicData,ths_ipo_pe_hks,港股发行PE,空,market=港股; unit=ratio,ratio,○,—,— [来源:DCF建模目录 category=ipo verified=2026-05-08]
THS_BasicData,ths_total_share_after_ipo_hks,IPO后总股本,空,market=港股; unit=股,股,○,—,— [来源:DCF建模目录 category=ipo verified=2026-05-08]
THS_BasicData,ths_ipo_amt_hks,港股募资总额,空,market=港股; unit=HKD元,HKD元,○,—,— [来源:DCF建模目录 category=ipo verified=2026-05-08]
THS_BasicData,ths_subscript_times_hks,公开发售认购倍数,空,market=港股; unit=倍,倍,○,—,— [来源:DCF建模目录 category=ipo verified=2026-05-08]
THS_BasicData,ths_intl_subscript_times_hks,国际配售认购倍数,空,market=港股; unit=倍,倍,○,—,— [来源:DCF建模目录 category=ipo verified=2026-05-08]
THS_BasicData,ths_listing_recommend_hks,保荐人,空,market=港股; unit=文本,文本,○,—,— [来源:DCF建模目录 category=ipo verified=2026-05-08]
THS_BasicData,ths_underwriter_hks,承销商/账簿管理人,空,market=港股; unit=文本,文本,○,—,— [来源:DCF建模目录 category=ipo verified=2026-05-08]
THS_BasicData,ths_first_day_close_chg_hks,首日涨跌幅,空,market=港股; unit=percent,percent,○,—,— [来源:DCF建模目录 category=ipo verified=2026-05-08]
